source;hyperlink;locality;postcode;house_is;property_subtype;price;sale;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has
7;https://www.immoweb.be/en/classified/town-house/for-sale/ittre/1460/8958274;ittre;1460;TRUE;town-house;275000;None;3;145;FALSE;FALSE;FALSE;TRUE;24;TRUE;180;None;541;4;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/8955190;westende;8434;FALSE;apartment;498000;None;2;88;TRUE;TRUE;FALSE;TRUE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958328;willebroek;2830;FALSE;apartment;264500;None;3;None;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958326;willebroek;2830;FALSE;apartment;214500;None;2;None;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/8958316;auderghem;1160;FALSE;apartment;399000;None;2;110;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/penthouse/for-sale/anderlecht/1070/8958312;anderlecht;1070;FALSE;penthouse;279000;None;2;120;TRUE;FALSE;FALSE;TRUE;14;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/8880468;forest;1190;FALSE;apartment;275000;None;2;85;FALSE;FALSE;FALSE;TRUE;4;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/8958304;gent;9000;FALSE;apartment;198000;None;1;38;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/penthouse/for-sale/knokke-heist/8300/8958299;knokke-heist;8300;FALSE;penthouse;2495000;None;3;278;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/8842036;wetteren;9230;FALSE;apartment;195000;None;2;100;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2060/8958290;antwerp;2060;FALSE;apartment;299000;None;2;96;TRUE;FALSE;FALSE;TRUE;5;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/ground-floor/for-sale/wavre/1300/8958287;wavre;1300;FALSE;ground-floor;198000;None;2;75;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/8958283;lier;2500;FALSE;apartment;425000;None;3;145;TRUE;FALSE;FALSE;TRUE;48;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958282;willebroek;2830;FALSE;apartment;260000;None;2;106;FALSE;FALSE;FALSE;TRUE;8;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958281;willebroek;2830;FALSE;apartment;265000;None;2;116;FALSE;FALSE;FALSE;TRUE;4;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958280;willebroek;2830;FALSE;apartment;265000;None;2;120;FALSE;FALSE;FALSE;TRUE;7;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958279;willebroek;2830;FALSE;apartment;260000;None;2;108;FALSE;FALSE;FALSE;TRUE;4;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958278;willebroek;2830;FALSE;apartment;260000;None;2;109;FALSE;FALSE;FALSE;TRUE;4;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958277;willebroek;2830;FALSE;apartment;260000;None;2;109;FALSE;FALSE;FALSE;TRUE;4;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/8958276;willebroek;2830;FALSE;apartment;260000;None;1;102;FALSE;FALSE;FALSE;TRUE;8;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/8958271;uccle;1180;FALSE;apartment;330000;None;2;95;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/marcinelle/6001/8958268;marcinelle;6001;FALSE;apartment;145000;None;2;105;TRUE;FALSE;FALSE;TRUE;6;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/penthouse/for-sale/leuven/3000/8958267;leuven;3000;FALSE;penthouse;789000;None;3;146;FALSE;FALSE;FALSE;TRUE;118;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/loft/for-sale/sint-jans-molenbeek/1080/8958263;sint-jans-molenbeek;1080;FALSE;loft;545000;None;3;307;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/7912255;uccle;1180;FALSE;ground-floor;990000;None;4;223;FALSE;FALSE;FALSE;TRUE;45;TRUE;282;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/penthouse/for-sale/evere/1140/8958258;evere;1140;FALSE;penthouse;345000;None;2;80;TRUE;FALSE;FALSE;TRUE;44;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/ground-floor/for-sale/turnhout/2300/8958257;turnhout;2300;FALSE;ground-floor;309000;None;2;97;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/berlare/9290/8958220;berlare;9290;FALSE;apartment;149000;None;2;70;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/8958209;halle;1500;FALSE;apartment;239000;None;2;82;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/8958199;ixelles;1050;FALSE;apartment;245000;None;2;65;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/8958198;ixelles;1050;FALSE;apartment;365000;None;4;121;FALSE;FALSE;FALSE;TRUE;16;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/8958260;tienen;3300;TRUE;house;249000;None;3;140;FALSE;FALSE;FALSE;TRUE;20;FALSE;None;None;60;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/brecht/2960/8958253;brecht;2960;TRUE;house;475000;None;4;230;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;1362;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ledeberg/9050/8958250;ledeberg;9050;TRUE;house;299000;None;2;108;TRUE;FALSE;FALSE;TRUE;15;TRUE;25;None;86;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/zelzate/9060/8850039;zelzate;9060;TRUE;house;268000;None;3;182;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;503;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ekeren/2180/8958223;ekeren;2180;TRUE;house;364000;None;3;149;TRUE;FALSE;FALSE;FALSE;None;TRUE;80;None;168;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/berlare/9290/8958219;berlare;9290;TRUE;house;325000;None;3;327;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;370;2;FALSE
