Unnamed: 0;hyperlink;locality;postcode;house_is;property_subtype;price;sale;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;duplicates;null
7;https://www.immoweb.be/en/classified/house/for-sale/beersel/1652/8944693;beersel;1652;Yes;house;670000;None;7;370;Yes;No;No;No;None;No;None;None;2397;3;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/beersel/1651/8944692;beersel;1651;Yes;house;295000;None;2;150;No;No;No;Yes;24;No;None;None;211;2;No;0;4
7;https://www.immoweb.be/en/classified/bungalow/for-sale/eeklo/9900/8944691;eeklo;9900;Yes;bungalow;325000;None;2;144;No;No;No;Yes;None;Yes;None;None;714;4;No;0;5
7;https://www.immoweb.be/en/classified/mansion/for-sale/antwerp/2018/8944689;antwerp;2018;Yes;mansion;465000;None;3;189;Yes;No;No;Yes;None;No;None;None;71;2;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/8944687;dendermonde;9200;Yes;house;299000;None;3;195;Yes;No;No;Yes;18;Yes;170;None;326;4;No;0;3
7;https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/8944663;brugge;8000;Yes;house;209000;None;1;57;No;No;No;No;None;No;None;None;40;2;No;0;5
7;https://www.immoweb.be/en/classified/mixed-use-building/for-sale/laeken/1020/8944650;laeken;1020;Yes;mixed-use-building;599000;None;5;200;No;No;No;No;None;No;None;None;50;1;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/kruishoutem/9770/8944646;kruishoutem;9770;Yes;house;315000;None;4;225;No;No;No;No;None;Yes;None;None;902;None;No;0;6
7;https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/8944644;meulebeke;8760;Yes;house;192500;None;2;None;No;No;No;Yes;None;No;None;None;858;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/8936575;schaerbeek;1030;No;apartment;259000;None;2;100;Yes;No;No;Yes;10;No;None;None;None;2;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/8936574;ixelles;1050;No;apartment;345000;None;1;65;Yes;No;No;Yes;7;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/8936573;schaerbeek;1030;No;apartment;430000;None;2;135;Yes;No;No;Yes;50;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/8936572;bruxelles;1000;No;flat-studio;169000;None;1;20;No;No;No;Yes;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/8936571;bruxelles;1000;No;apartment;279000;None;1;70;Yes;No;No;Yes;2;No;None;None;None;2;No;0;5
7;https://www.immoweb.be/en/classified/penthouse/for-sale/mouscron/7700/8936567;mouscron;7700;No;penthouse;145000;None;1;76;No;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/penthouse/for-sale/mouscron/7700/8936566;mouscron;7700;No;penthouse;145000;None;1;80;No;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/mouscron/7700/8936564;mouscron;7700;No;apartment;145000;None;1;76;No;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/mouscron/7700/8936563;mouscron;7700;No;apartment;145000;None;1;80;No;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/mouscron/7700/8936562;mouscron;7700;No;apartment;169900;None;2;100;No;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/8888038;schaerbeek;1030;No;apartment;215000;None;1;65;Yes;No;No;No;None;No;None;None;None;2;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/8616799;namur;5000;No;apartment;150000;None;3;85;Yes;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/8936544;evere;1140;No;apartment;430000;None;2;135;Yes;No;No;Yes;50;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/8936541;gent;9000;No;apartment;379000;None;2;93;Yes;No;No;Yes;15;No;None;None;None;4;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/8936537;uccle;1180;No;apartment;499000;None;3;170;Yes;No;No;Yes;40;No;None;None;None;2;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/ciney/5590/8936531;ciney;5590;No;apartment;239000;None;3;142;No;No;No;No;None;Yes;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/8936530;jette;1090;No;apartment;200000;None;3;106;Yes;No;No;Yes;19;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/8936515;namur;5000;No;apartment;289000;None;2;106;No;No;No;No;None;No;None;None;None;2;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/8936512;namur;5000;No;apartment;239000;None;2;85;No;No;No;No;None;No;None;None;None;2;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/8662123;brugge;8000;No;apartment;214500;None;3;104;Yes;No;No;Yes;4;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/8847281;westende;8434;No;apartment;231000;None;2;80;No;Yes;No;Yes;5;No;None;None;None;2;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/frameries/7080/8936478;frameries;7080;No;apartment;175000;None;3;112;Yes;No;No;No;None;No;None;None;None;2;No;0;6
